Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"
ENSG00000277531	PNMA8C		"PNMA family member 8C"	A0A1B0GUJ8	19	46424697-46428951	"Predicted intracellular proteins"			
ENSG00000156475	PPP2R2B	"B55beta, PR52B, PR55-BETA, SCA12"	"Protein phosphatase 2 regulatory subunit Bbeta"	Q00005	5	146581146-147084784	"Disease related genes, Predicted intracellular proteins"	Apoptosis		"Disease mutation, Neurodegeneration, Spinocerebellar ataxia"
ENSG00000153233	PTPRR	"EC-PTP, PCPTP1, PTP-SL, PTPBR7, PTPRQ"	"Protein tyrosine phosphatase, receptor type R"	Q15256	12	70638073-70920843	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		"Hydrolase, Protein phosphatase, Receptor"	
ENSG00000128482	RNF112	"BFP, ZNF179"	"Ring finger protein 112"	Q9ULX5	17	19411125-19417276	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Neurogenesis, Ubl conjugation pathway"	Transferase	
ENSG00000104112	SCG3	"FLJ90833, SgIII"	"Secretogranin III"	Q8WXD2	15	51681353-51721031	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			
ENSG00000144285	SCN1A	"FEB3, GEFSP2, HBSCI, NAC1, Nav1.1, SCN1, SMEI"	"Sodium voltage-gated channel alpha subunit 1"	P35498	2	165984641-166149214	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Autism, Autism spectrum disorder, Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000100095	SEZ6L		"Seizure related 6 homolog like"	Q9BYH1	22	26169474-26383597	"Predicted membrane proteins"			
ENSG00000139737	SLAIN1	"C13orf32, FLJ30046"	"SLAIN motif family member 1"	Q8ND83	13	77697854-77764242	"Predicted intracellular proteins"			
ENSG00000155886	SLC24A2	NCKX2	"Solute carrier family 24 member 2"	Q9UI40	9	19507452-19786928	"Predicted membrane proteins, Transporters"	"Antiport, Calcium transport, Ion transport, Potassium transport, Sensory transduction, Sodium transport, Symport, Transport, Vision"		
ENSG00000011083	SLC6A7	PROT	"Solute carrier family 6 member 7"	Q99884	5	150189957-150222788	"Predicted membrane proteins, Transporters"	"Amino-acid transport, Neurotransmitter transport, Symport, Transport"		
ENSG00000118160	SLC8A2	"KIAA1087, NCX2"	"Solute carrier family 8 member A2"	Q9UPR5	19	47428017-47472168	"Plasma proteins, Predicted membrane proteins, Transporters"	"Antiport, Calcium transport, Ion transport, Sodium transport, Transport"	Calmodulin-binding	
ENSG00000172803	SNX32	"FLJ30934, SNX6B"	"Sorting nexin 32"	Q86XE0	11	65833641-65856896	"Predicted intracellular proteins"	"Protein transport, Transport"		
ENSG00000181449	SOX2		"SRY-box 2"	P48431	3	181711924-181714436	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Cancer-related genes, Disease mutation, Microphthalmia"
ENSG00000177511	ST8SIA3	SIAT8C	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3"	O43173	18	57350813-57371731	"Predicted intracellular proteins, Predicted membrane proteins"		"Glycosyltransferase, Transferase"	
ENSG00000242866	STRC	DFNB16	Stereocilin	Q7RTU9	15	43599563-43618800	"Disease related genes, Predicted intracellular proteins"	Hearing		"Deafness, Non-syndromic deafness"
ENSG00000127561	SYNGR3		"Synaptogyrin 3"	O43761	16	1989660-1994275	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000008197	TFAP2D	TFAP2BL1	"Transcription factor AP-2 delta"	Q7Z6R9	6	50713828-50772988	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	
ENSG00000156299	TIAM1		"T cell lymphoma invasion and metastasis 1"	Q13009	21	31118416-31559977	"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"		"Guanine-nucleotide releasing factor"	
ENSG00000241697	TMEFF1	"C9orf2, CT120.1, H7365"	"Transmembrane protein with EGF like and two follistatin like domains 1"	Q8IYR6	9	100473113-100577636	"Predicted membrane proteins"		"Developmental protein"	
ENSG00000167619	TMEM145	FLJ90805	"Transmembrane protein 145"	Q8NBT3	19	42313325-42325062	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000152154	TMEM178A	"MGC33926, TMEM178"	"Transmembrane protein 178A"	Q8NBL3	2	39664982-39717963	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"			
ENSG00000169758	TMEM266	"C15orf27, FLJ38190"	"Transmembrane protein 266"	Q2M3C6	15	76059837-76229121	"Predicted membrane proteins"			
ENSG00000128872	TMOD2	NTMOD	"Tropomodulin 2"	Q9NZR1	15	51751561-51816368	"Predicted intracellular proteins"		Actin-binding	
ENSG00000156298	TSPAN7	"A15, CD231, DXS1692E, MRX58, MXS1, TALLA-1, TM4SF2"	"Tetraspanin 7"	P41732	X	38561370-38688920	"CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Host-virus interaction"		"Disease mutation, Mental retardation"
ENSG00000141540	TTYH2	C17orf29	"Tweety family member 2"	Q9BSA4	17	74213514-74262020	"Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel"	
ENSG00000250366	TUNAR	"HI-LNC78, LINC00617, TUNA"	"TCL1 upstream neural differentiation-associated RNA"		14	95876392-95925571	"Predicted membrane proteins"			
ENSG00000174607	UGT8	CGT	"UDP glycosyltransferase 8"	Q16880	4	114598455-114678224	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism, Sphingolipid metabolism"	"Glycosyltransferase, Transferase"	
ENSG00000159733	ZFYVE28	KIAA1643	"Zinc finger FYVE-type containing 28"	Q9HCC9	4	2269582-2418663	"Plasma proteins, Predicted intracellular proteins"			
ENSG00000139800	ZIC5		"Zic family member 5"	Q96T25	13	99962964-99971909	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis"	"Developmental protein, DNA-binding"	
ENSG00000176244	ACBD7	"bA455B2.2, FLJ38219"	"Acyl-CoA binding domain containing 7"	Q8N6N7	10	15077523-15088776	"Predicted intracellular proteins"			
ENSG00000189127	ANKRD34B	DP58	"Ankyrin repeat domain 34B"	A5PLL1	5	80556755-80570488	"Predicted intracellular proteins"			
ENSG00000034053	APBA2	"D15S1518E, HsT16821, LIN-10, MGC:14091, MINT2, X11L"	"Amyloid beta precursor protein binding family A member 2"	Q99767	15	28884483-29118315	"Predicted intracellular proteins"	"Protein transport, Transport"		
ENSG00000128805	ARHGAP22	RhoGAP2	"Rho GTPase activating protein 22"	Q7Z5H3	10	48446034-48656265	"Predicted intracellular proteins"	"Angiogenesis, Differentiation, Transcription, Transcription regulation"	"Developmental protein, GTPase activation"	
ENSG00000214694	ARHGEF33		"Rho guanine nucleotide exchange factor 33"	A8MVX0	2	38889841-38975449	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"	
ENSG00000143032	BARHL2		"BarH like homeobox 2"	Q9NY43	1	90711539-90717237	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	
ENSG00000212719	C17orf51	"FLJ12977, FLJ31874, FLJ33618"	"Chromosome 17 open reading frame 51"	A8MQB3	17	21524790-21574458	"Predicted intracellular proteins"			
ENSG00000188674	C2orf80	"GONDA1, LOC389073"	"Chromosome 2 open reading frame 80"	Q0P641	2	208165343-208190073	"Predicted intracellular proteins"			
ENSG00000141668	CBLN2		"Cerebellin 2 precursor"	Q8IUK8	18	72536680-72638521	"Predicted intracellular proteins, Predicted secreted proteins"			
ENSG00000113100	CDH9		"Cadherin 9"	Q9ULB4	5	26880600-27121150	"Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"		
ENSG00000184984	CHRM5		"Cholinergic receptor muscarinic 5"	P08912	15	33968720-34067457	"FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000173786	CNP		"2',3'-cyclic nucleotide 3' phosphodiesterase"	P09543	17	41966741-41977731	"Enzymes, Plasma proteins, Predicted intracellular proteins"		"Hydrolase, RNA-binding"	
ENSG00000133083	DCLK1	"DCAMKL1, DCDC3A, DCLK, KIAA0369"	"Doublecortin like kinase 1"	O15075	13	35768652-36131306	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Differentiation, Neurogenesis"	"Developmental protein, Kinase, Serine/threonine-protein kinase, Transferase"	
ENSG00000170390	DCLK2	"DCAMKL2, DCDC3, DCDC3B, DCK2, MGC45428"	"Doublecortin like kinase 2"	Q8N568	4	150078274-150257457	"Enzymes, Predicted intracellular proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	
ENSG00000186047	DLEU7	FLJ44882	"Deleted in lymphocytic leukemia, 7"	Q6UYE1	13	50711008-50843939	"Predicted intracellular proteins"			
ENSG00000116544	DLGAP3	"DAP3, SAPAP3"	"DLG associated protein 3"	O95886	1	34865436-34929585	"Predicted intracellular proteins"			
ENSG00000135625	EGR4	"NGFI-C, PAT133"	"Early growth response 4"	Q05215	2	73290929-73293705	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	
ENSG00000168913	ENHO	"C9orf165, UNQ470"	"Energy homeostasis associated"	Q6UWT2	9	34521040-34523041	"Predicted secreted proteins"			
ENSG00000111674	ENO2		"Enolase 2"	P09104	12	6913745-6923698	"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted intracellular proteins"	Glycolysis	Lyase	"Cancer-related genes"
ENSG00000154928	EPHB1	"EPHT2, Hek6"	"EPH receptor B1"	P54762	3	134597801-135260467	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion, Neurogenesis"	"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	
ENSG00000187672	ERC2	"CAST, CAST1, ELKSL, KIAA0378, SPBC110, Spc110"	"ELKS/RAB6-interacting/CAST family member 2"	O15083	3	55508308-56468363	"Plasma proteins, Predicted intracellular proteins"			
ENSG00000149557	FEZ1	UNC-76	"Fasciculation and elongation protein zeta 1"	Q99689	11	125445745-125496317	"Predicted intracellular proteins"	Transport		
ENSG00000138675	FGF5		"Fibroblast growth factor 5"	P12034	4	80266599-80336680	"Disease related genes, Predicted secreted proteins, RAS pathway related proteins"		"Growth factor, Mitogen"	"Disease mutation, Proto-oncogene"
ENSG00000171956	FOXB1	"FKH5, HFKH-5"	"Forkhead box B1"	Q99853	15	60004222-60061730	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	
ENSG00000151834	GABRA2		"Gamma-aminobutyric acid type A receptor alpha2 subunit"	P47869	4	46248427-46475230	"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel, Ligand-gated ion channel, Receptor"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000109158	GABRA4		"Gamma-aminobutyric acid type A receptor alpha4 subunit"	P48169	4	46918900-46994407	"FDA approved drug targets, Predicted membrane proteins"	"Ion transport, Transport"	"Chloride channel, Ion channel, Ligand-gated ion channel, Receptor"	"FDA approved drug targets"
ENSG00000203879	GDI1	"FLJ41411, GDIL, MRX41, MRX48, OPHN2, RABGDIA, XAP-4"	"GDP dissociation inhibitor 1"	P31150	X	154436913-154443467	"Disease related genes, Plasma proteins, Predicted intracellular proteins"		"GTPase activation"	"Disease mutation, Mental retardation"
ENSG00000170775	GPR37	"EDNRBL, hET(B)R-LP, PAELR"	"G protein-coupled receptor 37"	O15354	7	124745997-124765627	"G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000135973	GPR45	"PSP24, PSP24A"	"G protein-coupled receptor 45"	Q9Y5Y3	2	105241743-105243049	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000169258	GPRIN1	"GRIN1, KIAA1893"	"G protein regulated inducer of neurite outgrowth 1"	Q7Z2K8	5	176595802-176610133	"Predicted intracellular proteins"			
ENSG00000198785	GRIN3A	GluN3A	"Glutamate ionotropic receptor NMDA type subunit 3A"	Q8TCU5	9	101569353-101738580	"FDA approved drug targets, Predicted membrane proteins"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"	"FDA approved drug targets"
ENSG00000221887	HMSD	"ACC-6, ACC6, C18orf53"	"Histocompatibility minor serpin domain containing"	"A8MTL9, P0C7T4"	18	63949301-63981774	"Predicted intracellular proteins, Predicted secreted proteins"		"Protease inhibitor, Serine protease inhibitor"	
ENSG00000148798	INA	"NEF5, NF-66"	"Internexin neuronal intermediate filament protein alpha"	Q16352	10	103277163-103290351	"Predicted intracellular proteins"	"Differentiation, Neurogenesis"	"Developmental protein"	
ENSG00000214216	IQCJ		"IQ motif containing J"	Q1A5X6	3	158962928-159266307	"Predicted intracellular proteins"			
ENSG00000178342	KCNG2	"KCNF2, Kv6.2"	"Potassium voltage-gated channel modifier subfamily G member 2"	Q9UJ96	18	79863668-79900184	"Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	
ENSG00000184261	KCNK12	"K2p12.1, THIK-2, THIK2"	"Potassium two pore domain channel subfamily K member 12"	Q9HB15	2	47516581-47570939	"Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	
ENSG00000168280	KIF5C		"Kinesin family member 5C"	O60282	2	148875250-149026759	"Disease related genes, Plasma proteins, Predicted intracellular proteins"	Transport	"Motor protein"	"Disease mutation"
ENSG00000126214	KLC1	"hKLC1B, hKLC1G, hKLC1J, hKLC1N, hKLC1P, hKLC1R, hKLC1S, KLC, KNS2, KNS2A"	"Kinesin light chain 1"	Q07866	14	103561896-103714249	"Predicted intracellular proteins"	"Host-virus interaction"	"Motor protein"	
ENSG00000146021	KLHL3	KIAA1129	"Kelch like family member 3"	Q9UH77	5	137617500-137736090	"Disease related genes, Predicted intracellular proteins"	"Ubl conjugation pathway"	Actin-binding	"Disease mutation"
ENSG00000108231	LGI1	"EPITEMPIN, EPT, ETL1, IB1099"	"Leucine rich glioma inactivated 1"	O95970	10	93757809-93806272	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"			"Cancer-related genes, Disease mutation, Epilepsy"
ENSG00000263874	LINC00672		"Long intergenic non-protein coding RNA 672"		17	38925168-38929384	"Predicted membrane proteins"			
ENSG00000145721	LIX1	"C5orf11, Lft"	"Limb and CNS expressed 1"	Q8N485	5	97091867-97142872	"Predicted intracellular proteins"			
ENSG00000142235	LMTK3	"KIAA1883, LMR3, PPP1R101, TYKLM3"	"Lemur tyrosine kinase 3"	Q96Q04	19	48485271-48513189	"Enzymes, Predicted membrane proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	
ENSG00000033122	LRRC7	"densin-180, KIAA1365"	"Leucine rich repeat containing 7"	Q96NW7	1	69568398-70151945	"Predicted intracellular proteins"			
ENSG00000131711	MAP1B	"MAP5, PPP1R102"	"Microtubule associated protein 1B"	P46821	5	72107234-72209570	"Plasma proteins, Predicted intracellular proteins"			
ENSG00000125966	MMP24	MT5-MMP	"Matrix metallopeptidase 24"	Q9Y5R2	20	35226654-35277000	"Enzymes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins"	"Cell adhesion"	"Hydrolase, Metalloprotease, Protease"	"FDA approved drug targets"
ENSG00000180354	MTURN	"C7orf41, Ells1, FLJ25903"	"Maturin, neural progenitor differentiation regulator homolog"	Q8N3F0	7	30134810-30162762	"Predicted intracellular proteins"		"Developmental protein"	
ENSG00000053702	NRIP2	DKFZP761G1913	"Nuclear receptor interacting protein 2"	Q9BQI9	12	2825348-2835544	"Predicted intracellular proteins"	"Transcription, Transcription regulation"		
ENSG00000184221	OLIG1	"BHLHB6, bHLHe21"	"Oligodendrocyte transcription factor 1"	Q8TAK6	21	33070144-33072420	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	
ENSG00000205927	OLIG2	"BHLHB1, bHLHe19, OLIGO2, PRKCBP2, RACK17"	"Oligodendrocyte transcription factor 2"	Q13516	21	33025845-33029196	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Cancer-related genes, Proto-oncogene"
ENSG00000179468	OR9A2		"Olfactory receptor family 9 subfamily A member 2"	Q8NGT5	7	143026158-143027195	"G-protein coupled receptors, Predicted membrane proteins"	"Olfaction, Sensory transduction"	"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000165194	PCDH19	"EFMR, EIEE9, KIAA1313"	"Protocadherin 19"	Q8TAB3	X	100291644-100410273	"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"		"Disease mutation, Epilepsy, Mental retardation"
ENSG00000123360	PDE1B	PDES1B	"Phosphodiesterase 1B"	Q01064	12	54549350-54579239	"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"		"Calmodulin-binding, Hydrolase"	"FDA approved drug targets"
ENSG00000152192	POU4F1	"BRN3A, RDC-1"	"POU class 4 homeobox 1"	Q01851	13	78598362-78603560	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	
ENSG00000128250	RFPL1	RNF78	"Ret finger protein like 1"	O75677	22	29438583-29442455	"Predicted intracellular proteins"	"Cell cycle"		
ENSG00000147509	RGS20	"RGSZ1, ZGAP1"	"Regulator of G protein signaling 20"	O76081	8	53851808-53959303	"Plasma proteins, Predicted intracellular proteins"		"Signal transduction inhibitor"	
ENSG00000117152	RGS4	SCZD9	"Regulator of G protein signaling 4"	P49798	1	163068775-163076802	"Disease related genes, Predicted intracellular proteins"		"Signal transduction inhibitor"	Schizophrenia
ENSG00000079102	RUNX1T1	"AML1T1, CBFA2T1, CDR, ETO, MTG8, ZMYND2"	"RUNX1 translocation partner 1"	Q06455	8	91954967-92103286	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Transcription, Transcription regulation"	"DNA-binding, Repressor"	"Cancer-related genes, Proto-oncogene"
ENSG00000160307	S100B	S100beta	"S100 calcium binding protein B"	P04271	21	46598962-46605208	"Cancer-related genes, Candidate cardiovascular disease genes, Predicted intracellular proteins, Transporters"			"Cancer-related genes"
ENSG00000138606	SHF		"Src homology 2 domain containing F"	Q7M4L6	15	45167214-45201175	"Predicted intracellular proteins"	Apoptosis		
ENSG00000234965	SHISA8	"C22orf17, Orf26"	"Shisa family member 8"	B8ZZ34	22	41909554-41914667	"Predicted membrane proteins, Transporters"			
ENSG00000170615	SLC26A5	"DFNB61, PRES"	"Solute carrier family 26 member 5"	P58743	7	103352730-103446177	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Cell shape, Hearing"	"Motor protein"	"Deafness, Non-syndromic deafness"
ENSG00000070214	SLC44A1	"CD92, CDw92, CHTL1, CTL1"	"Solute carrier family 44 member 1"	Q8WWI5	9	105244622-105439171	"CD markers, Predicted membrane proteins, Transporters"	Transport		
ENSG00000197106	SLC6A17		"Solute carrier family 6 member 17"	Q9H1V8	1	110150486-110202202	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Neurotransmitter transport, Symport, Transport"		"Disease mutation, Mental retardation"
ENSG00000165970	SLC6A5	"GLYT2, NET1"	"Solute carrier family 6 member 5"	Q9Y345	11	20599400-20659285	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Neurotransmitter transport, Symport, Transport"		"Disease mutation"
ENSG00000160460	SPTBN4	"KIAA1642, SPTBN3"	"Spectrin beta, non-erythrocytic 4"	Q9H254	19	40466241-40576464	"Disease related genes, Plasma proteins, Predicted intracellular proteins"		"Actin capping, Actin-binding"	"Deafness, Disease mutation, Neuropathy"
ENSG00000132671	SSTR4		"Somatostatin receptor 4"	P31391	20	23035386-23036812	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000104435	STMN2	"SCG10, SCGN10"	"Stathmin 2"	Q93045	8	79610814-79666175	"Predicted intracellular proteins"			
ENSG00000197457	STMN3	SCLIP	"Stathmin 3"	Q9NZ72	20	63639705-63657682	"Predicted intracellular proteins"			
ENSG00000166111	SVOP	DKFZp761H039	"SV2 related protein"	Q8N4V2	12	108907741-109021240	"Predicted membrane proteins"	Transport		
ENSG00000078269	SYNJ2	INPP5H	"Synaptojanin 2"	O15056	6	157981887-158099176	"Enzymes, Predicted intracellular proteins"		"Hydrolase, RNA-binding"	
ENSG00000129990	SYT5		"Synaptotagmin 5"	O00445	19	55171199-55180441	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000164112	TMEM155	FLJ30834	"Transmembrane protein 155"	Q4W5P6	4	121758933-121765427	"Predicted secreted proteins"			
ENSG00000137285	TUBB2B	"bA506K6.1, DKFZp566F223, MGC8685"	"Tubulin beta 2B class IIb"	Q9BVA1	6	3224261-3231730	"Disease related genes, Predicted intracellular proteins"	Neurogenesis		"Disease mutation, Mental retardation"
ENSG00000258947	TUBB3	"beta-4, CFEOM3, CFEOM3A, FEOM3"	"Tubulin beta 3 class III"	Q13509	16	89921392-89938761	"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"			"Disease mutation, FDA approved drug targets"
